Film,Date,Year,Weekend,Gross
Midnight Cowboy,6/1/1969,1969,22,3873694
Midnight Cowboy,6/8/1969,1969,23,3582853
True Grit,6/15/1969,1969,24,3673583
True Grit,6/22/1969,1969,25,2482795
The Chairman,6/29/1969,1969,26,2573585
Midnight Cowboy,7/6/1969,1969,27,3572392
Midnight Cowboy,7/13/1969,1969,28,2935375
The Wild Bunch,7/20/1969,1969,29,3853360
Easy Rider,7/27/1969,1969,30,3634693
Easy Rider,8/3/1969,1969,31,3633578
Easy Rider,8/10/1969,1969,32,3529689
Easy Rider,8/17/1969,1969,33,2900482
Easy Rider,8/24/1969,1969,34,2472593
Easy Rider,8/31/1969,1969,35,2111535
The Trouble with Girls,9/7/1969,1969,36,3000000
The Trouble with Girls,9/14/1969,1969,37,2572752
The Trouble with Girls,9/21/1969,1969,38,2184294
Butch Cassidy and the Sundance Kid,9/28/1969,1969,39,3924284
Butch Cassidy and the Sundance Kid,10/5/1969,1969,40,3472589
Butch Cassidy and the Sundance Kid,10/12/1969,1969,41,3000000
Butch Cassidy and the Sundance Kid,10/19/1969,1969,42,2835290
Butch Cassidy and the Sundance Kid,10/26/1969,1969,43,2572843
Butch Cassidy and the Sundance Kid,11/2/1969,1969,44,2412853
Butch Cassidy and the Sundance Kid,11/9/1969,1969,45,2300573
Butch Cassidy and the Sundance Kid,11/16/1969,1969,46,2184895
Butch Cassidy and the Sundance Kid,11/23/1969,1969,47,2000000
Butch Cassidy and the Sundance Kid,11/30/1969,1969,48,1900478
Butch Cassidy and the Sundance Kid,12/7/1969,1969,49,1482864
"They Shoot Horses, Don't They?",12/14/1969,1969,50,3582573
On Her Majesty's Secret Service,12/21/1969,1969,51,4684285
"They Shoot Horses, Don't They?",12/28/1969,1969,52,3673294
"They Shoot Horses, Don't They?",1/4/1970,1970,1,3583385
"They Shoot Horses, Don't They?",1/11/1970,1970,2,2578843
"They Shoot Horses, Don't They?",1/18/1970,1970,3,2134953
"They Shoot Horses, Don't They?",1/25/1970,1970,4,2000000
MASH,2/1/1970,1970,5,4936934
MASH,2/8/1970,1970,6,4340845
MASH,2/15/1970,1970,7,3864238
MASH,2/22/1970,1970,8,3573385
MASH,3/1/1970,1970,9,3295385
Airport,3/8/1970,1970,10,4357375
Airport,3/15/1970,1970,11,4268734
The Boys in the Band,3/22/1970,1970,12,4382497
Woodstock,3/29/1970,1970,13,5000000
Patton,4/5/1970,1970,14,4438684
Patton,4/12/1970,1970,15,3853593
Patton,4/19/1970,1970,16,3240535
Patton,4/26/1970,1970,17,2953857
Airport,5/3/1970,1970,18,4158385
Airport,5/10/1970,1970,19,3584964
Airport,5/17/1970,1970,20,3285357
Airport,5/24/1970,1970,21,2843395
Beneath the Planet of the Apes,5/31/1970,1970,22,3595936
Beneath the Planet of the Apes,6/7/1970,1970,23,3146395
The Cheyenne Social Club,6/14/1970,1970,24,3684385
Two Mules for Sister Sara,6/21/1970,1970,25,3478583
Kelly's Heroes,6/28/1970,1970,26,3578352
Beyond the Valley of the Dolls,7/5/1970,1970,27,3255436
Airport,7/12/1970,1970,28,3135486
Joe,7/19/1970,1970,29,3684295
